# role	original_commit	published_commit	tree	patch_id
baseline_snapshot	557ec5dffbd8464d054931f890c1b51a0b76039b	04ad6f9475a33c97779ecd1e0569baf15c510083	d2383c3ec04ee8c088d63c798931308862e0b4d9	-
halium_patch	d2d1d34403aa92a1f2a31364f2bae12ea72679c2	d46b623b60d9dcf1496b0e131433d92f09853c89	7961e45d94b8859066be3f1f03b4f95bf10d93e3	281195f81060e3b8fbd6d7e1359c4b3df66a5370
